source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
model_member,archesweather,member3,hus,,1979-01-01,2024-12-31,-0.00011294136493233964,1.185074211207393e-06,1.5315331438614521e-06,0.010390725918114185,0.016000516712665558,0.025268560275435448,-0.011139117181301117,-0.001290071919793263,-0.000507044605910778,0.0005914047360420227,0.0013852627016603947,0.01066926121711731
model_member,archesweather,member4,hus,,1979-01-01,2024-12-31,-0.00010792361717903987,1.1845280596389784e-06,1.522074285276176e-06,0.010398939298465804,0.015997499991208253,0.025031348690390587,-0.010543875396251678,-0.0012882780283689499,-0.0005082152783870697,0.0005973218940198421,0.001395372399128958,0.01217612437903881
model_member,archesweather,member5,hus,,1979-01-01,2024-12-31,-0.0001121755558415316,1.216513510371442e-06,1.6607732447937454e-06,0.010390075854957104,0.016011270526796517,0.02523786947131157,-0.011759928427636623,-0.00129652488976717,-0.0005167918279767036,0.0005766537564340923,0.0013662484497763139,0.010986474342644215
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,hus,,1979-01-01,2024-12-31,-0.000137389128212817,1.1825144383692532e-06,1.522074285276176e-06,0.010399485053494528,0.016011270526796517,0.026108235120773315,-0.011759928427636623,-0.00129652488976717,-0.0005167918279767036,0.0005973218940198421,0.0014044903218746185,0.01217612437903881
era5,ERA5,,zg,m,1979-01-01,2024-12-31,-323.5998840332031,-50.218287620544444,118.93303680419922,20448.859375,20712.626953125,21189.26953125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,zg,m,1979-01-01,2024-12-31,-334.73681640625,-64.56636047363281,117.41167449951172,20340.4375,20765.279296875,21081.25,-1438.392578125,-361.5107421875,-168.64111328125,112.656982421875,189.501953125,857.4375
model_member,forced_sst,member2,zg,m,1979-01-01,2024-12-31,-320.04205322265625,-65.08675109863282,117.8489524841309,20334.150390625,20763.830078125,21083.8828125,-1444.67578125,-355.521484375,-165.597900390625,113.822265625,191.244140625,853.630859375
model_member,forced_sst,member3,zg,m,1979-01-01,2024-12-31,-321.8236083984375,-62.682621383667,117.21141052246094,20337.873046875,20764.1796875,21106.103515625,-1514.107421875,-354.966796875,-166.35546875,112.9267578125,189.22265625,880.541015625
model_member,forced_sst,member4,zg,m,1979-01-01,2024-12-31,-335.68975830078125,-62.075627441406255,117.97496795654297,20344.056640625,20762.115234375,21086.13671875,-1479.646484375,-343.876953125,-161.1103515625,112.91081314086841,192.740234375,1125.673828125
model_member,forced_sst,member5,zg,m,1979-01-01,2024-12-31,-316.9520568847656,-61.67377979278565,117.84734344482422,20338.607421875,20757.5625,21050.8359375,-1564.568359375,-353.615234375,-166.0341796875,112.78662109375,194.8125,965.203125
model_member,archesweather,member1,zg,m,1979-01-01,2024-12-31,-332.6278991699219,-71.72575378417969,119.67648315429688,20340.822265625,20746.265625,21137.263671875,-1472.76953125,-339.6328125,-165.6572265625,109.123291015625,191.158203125,1355.2109375
model_member,archesweather,member2,zg,m,1979-01-01,2024-12-31,-326.759521484375,-71.89378356933594,119.60420227050781,20333.12109375,20750.6953125,21114.205078125,-1505.482421875,-348.861328125,-165.2109375,110.28998031615993,190.0849609375,1084.12890625
model_member,archesweather,member3,zg,m,1979-01-01,2024-12-31,-345.3982849121094,-72.30130355834962,119.64920806884766,20334.650390625,20749.068359375,21140.400390625,-1526.71484375,-345.0703125,-165.580078125,107.69140625,185.6865234375,1092.396484375
model_member,archesweather,member4,zg,m,1979-01-01,2024-12-31,-320.2230529785156,-70.93751876831055,119.29360122680669,20335.482421875,20750.37109375,21125.02734375,-1491.16796875,-352.380859375,-165.98046875,110.8037109375,192.3388671875,1008.193359375
model_member,archesweather,member5,zg,m,1979-01-01,2024-12-31,-322.4075012207031,-68.50748306274414,119.82687339782717,20347.00390625,20744.01171875,21116.642578125,-1481.32421875,-333.1142578125,-162.13671875,108.031494140625,188.57905654906972,1161.70703125
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,zg,m,1979-01-01,2024-12-31,-345.3982849121094,-72.30130355834962,117.21141052246094,20347.00390625,20765.279296875,21140.400390625,-1564.568359375,-361.5107421875,-168.64111328125,113.822265625,194.8125,1355.2109375
