source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
model_member,free_run_control,member2,zg,m,1979-01-01,2024-12-31,-319.4719543457031,-40.709328765869145,122.81651306152344,20416.37109375,20728.9296875,21065.119140625,-780.068359375,-183.6982421875,-87.45243186950677,285.70703125,626.330078125,1958.1640625
model_member,free_run_control,member3,zg,m,1979-01-01,2024-12-31,-292.1025390625,-40.47419738769531,125.08280944824219,20392.783203125,20718.390625,21091.046875,-939.724609375,-194.53125,-85.558837890625,312.6318359375,639.0537109375,2017.59765625
model_member,free_run_control,member4,zg,m,1979-01-01,2024-12-31,-336.8957214355469,-29.27440525054932,120.09126281738281,20368.59375,20697.392578125,20985.48828125,-912.646484375,-215.169921875,-89.11328125,303.3837890625,621.1025390625,2032.396484375
model_member,free_run_control,member5,zg,m,1979-01-01,2024-12-31,-317.5948486328125,-52.42111743927002,121.56529998779297,20354.720703125,20691.48046875,21122.326171875,-1081.109375,-241.3701171875,-105.96193046569817,254.14453125,565.1810644530924,1988.98046875
model_member,free_run_prediction,member1,zg,m,1979-01-01,2024-12-31,-295.2745666503906,-42.42224884033203,116.64517135620117,20305.322265625,20671.48046875,20889.548828125,-1488.103515625,-342.034189453125,-166.1640625,151.8916015625,398.4609375,1724.646484375
model_member,free_run_prediction,member2,zg,m,1979-01-01,2024-12-31,-319.7740173339844,-42.4210855102539,122.22707099914552,20409.515625,20725.71484375,21045.638671875,-663.6953125,-202.7734375,-106.2685577392578,239.056640625,566.037109375,1867.25
model_member,free_run_prediction,member3,zg,m,1979-01-01,2024-12-31,-289.95458984375,-43.09310161590576,124.71440010070802,20384.064453125,20717.185546875,21090.470703125,-923.419921875,-195.6943359375,-99.03125,285.1689453125,608.45703125,1926.751953125
model_member,free_run_prediction,member4,zg,m,1979-01-01,2024-12-31,-276.20751953125,-27.31987041473389,119.08967590332031,20361.859375,20691.6953125,20964.017578125,-843.91796875,-226.318359375,-113.06640625,270.1975219726555,575.50390625,2004.310546875
model_member,free_run_prediction,member5,zg,m,1979-01-01,2024-12-31,-314.2077941894531,-53.814595222473145,120.95232391357422,20344.810546875,20682.294921875,21065.029296875,-996.595703125,-254.26953125,-127.935546875,217.478515625,523.4384765625,1859.94921875
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,zg,m,1979-01-01,2024-12-31,-336.8957214355469,-53.814595222473145,116.64517135620117,20416.37109375,20728.9296875,21122.326171875,-1488.103515625,-342.034189453125,-166.1640625,312.6318359375,639.0537109375,2032.396484375
